image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,error
1899.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
2098.pgm,PPOCP-conservative,True,256,3208,-2952,134,0.024457308983874312,32.91435123586854,True,True,,
2098.pgm,Huynh-Nguyen-T5,True,256,1872,-1616,150,0.05158962818525071,32.424486628959805,True,True,,
2098.pgm,Dong-adaptive-conservative,True,256,336,-80,10888,4.571374459108358,13.815918097563832,True,True,l=8,
2105.pgm,PPOCP-conservative,True,256,3248,-2992,122,0.0526861432412303,33.321800912769135,True,True,,
2105.pgm,Huynh-Nguyen-T5,True,256,1160,-904,154,0.08625456085658728,32.31019201115198,True,True,,
2105.pgm,Dong-adaptive-conservative,True,256,336,-80,146,0.10037332559585142,32.54187066167225,True,True,l=2,
2179.pgm,PPOCP-conservative,True,256,3480,-3224,122,0.05129909713712844,33.321800912769135,True,True,,
2179.pgm,Huynh-Nguyen-T5,True,256,1888,-1632,143,0.10064959410294386,32.632038844865995,True,True,,
2179.pgm,Dong-adaptive-conservative,True,256,392,-136,189,0.13087371094021832,31.420781177784175,True,True,l=5,
2198.pgm,PPOCP-conservative,True,256,3392,-3136,122,0.06974441321778388,33.321800912769135,True,True,,
2198.pgm,Huynh-Nguyen-T5,True,256,1136,-880,141,0.1362761248270482,32.69320809296281,True,True,,
2198.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map is exhausted; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
2323.pgm,PPOCP-conservative,True,256,3464,-3208,131,0.10119110565379003,33.01268626295897,True,True,,
2323.pgm,Huynh-Nguyen-T5,True,256,1896,-1640,129,0.14171891784778282,33.079502116524125,True,True,,
2323.pgm,Dong-adaptive-conservative,True,256,304,-48,139,0.18786479421805505,32.755251216975665,True,True,l=8,
2460.pgm,PPOCP-conservative,True,256,2896,-2640,115,0.06408078338894255,33.5784208159805,True,True,,
2460.pgm,Huynh-Nguyen-T5,True,256,1856,-1600,125,0.13221188038581402,33.21629908943605,True,True,,
2460.pgm,Dong-adaptive-conservative,True,256,304,-48,141,0.1575360087631179,32.69320809296281,True,True,l=1,
2512.pgm,PPOCP-conservative,True,256,3152,-2896,124,0.040901033466428385,33.251182367894266,True,True,,
2512.pgm,Huynh-Nguyen-T5,True,256,1096,-840,152,0.07850010041345147,32.36696334006889,True,True,,
2512.pgm,Dong-adaptive-conservative,True,256,320,-64,135,0.06564420494395261,32.88206153456655,True,True,l=3,
2565.pgm,PPOCP-conservative,True,256,2512,-2256,144,0.1390138600730546,32.601774298564116,True,True,,
2565.pgm,Huynh-Nguyen-T5,True,256,3264,-3008,114,0.14950899453616576,33.61635070615189,True,True,,
2565.pgm,Dong-adaptive-conservative,True,256,288,-32,128,0.2028118594159552,33.11329952303793,True,True,l=1,
2702.pgm,PPOCP-conservative,True,256,2408,-2152,119,0.6686254864610315,33.429929605591305,True,True,,
2702.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
2702.pgm,Dong-adaptive-conservative,True,256,280,-24,136,1.2239291688551288,32.850010135814436,True,True,l=2,
2732.pgm,PPOCP-conservative,True,256,3928,-3672,129,0.025490752792393684,33.079502116524125,True,True,,
2732.pgm,Huynh-Nguyen-T5,True,256,1896,-1640,123,0.04763927228790892,33.286348105122634,True,True,,
2732.pgm,Dong-adaptive-conservative,True,256,288,-32,138,0.05719098790708461,32.78660835550425,True,True,l=9,
2738.pgm,PPOCP-conservative,True,256,256,0,129,2.734603785036449,33.079502116524125,True,True,,
2738.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
2738.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
2766.pgm,PPOCP-conservative,True,256,3064,-2808,129,0.2716137645742858,33.079502116524125,True,True,,
2766.pgm,Huynh-Nguyen-T5,True,256,3304,-3048,129,0.42659235892818975,33.079502116524125,True,True,,
2766.pgm,Dong-adaptive-conservative,True,256,376,-120,191840,780.5223887184678,1.3560075619688807,True,True,l=3,
2881.pgm,PPOCP-conservative,True,256,2128,-1872,117,0.017572755710199128,33.503540602055,True,True,,
2881.pgm,Huynh-Nguyen-T5,True,256,1144,-888,157,0.06594226639680965,32.22640269542428,True,True,,
2881.pgm,Dong-adaptive-conservative,True,256,304,-48,131,0.05482383367408828,33.01268626295897,True,True,l=4,
2929.pgm,PPOCP-conservative,True,256,3872,-3616,125,0.03536931562965693,33.21629908943605,True,True,,
2929.pgm,Huynh-Nguyen-T5,True,256,1880,-1624,131,0.07458723469382701,33.01268626295897,True,True,,
2929.pgm,Dong-adaptive-conservative,True,256,280,-24,129,0.0730599030002902,33.079502116524125,True,True,l=4,
2947.pgm,PPOCP-conservative,True,256,3360,-3104,135,0.049936827325589093,32.88206153456655,True,True,,
2947.pgm,Huynh-Nguyen-T5,True,256,1080,-824,142,0.07135113821603592,32.662515775686046,True,True,,
2947.pgm,Dong-adaptive-conservative,True,256,296,-40,131,0.07728008598985008,33.01268626295897,True,True,l=3,
3009.pgm,PPOCP-conservative,True,256,2912,-2656,129,0.020667895844221233,33.079502116524125,True,True,,
3009.pgm,Huynh-Nguyen-T5,True,256,1080,-824,155,0.045671253581881864,32.2820822378137,True,True,,
3009.pgm,Dong-adaptive-conservative,True,256,296,-40,144,0.05412518668318075,32.601774298564116,True,True,l=1,
3089.pgm,PPOCP-conservative,True,256,3384,-3128,134,0.04712807039883949,32.91435123586854,True,True,,
3089.pgm,Huynh-Nguyen-T5,True,256,1144,-888,141,0.058504206348629496,32.69320809296281,True,True,,
3089.pgm,Dong-adaptive-conservative,True,256,400,-144,162,0.07526338683221097,32.0902490740903,True,True,l=1,
3099.pgm,PPOCP-conservative,True,256,3456,-3200,127,0.09369353795107638,33.14736200995704,True,True,,
3099.pgm,Huynh-Nguyen-T5,True,256,1112,-856,142,0.17993956123149588,32.662515775686046,True,True,,
3099.pgm,Dong-adaptive-conservative,True,256,360,-104,169,0.1998369479608421,31.90653217337988,True,True,l=10,
3105.pgm,PPOCP-conservative,True,256,3320,-3064,132,0.038119763857217305,32.979659907458114,True,True,,
3105.pgm,Huynh-Nguyen-T5,True,256,1912,-1656,140,0.060421815221759864,32.72411886273424,True,True,,
3105.pgm,Dong-adaptive-conservative,True,256,304,-48,133,0.06793255142301345,32.94688280984576,True,True,l=3,
3109.pgm,PPOCP-conservative,True,256,3176,-2920,138,0.06069429260820698,32.78660835550425,True,True,,
3109.pgm,Huynh-Nguyen-T5,True,256,1112,-856,143,0.11227355524514877,32.632038844865995,True,True,,
3109.pgm,Dong-adaptive-conservative,True,256,400,-144,152,0.0970563610754547,32.36696334006889,True,True,l=6,
3116.pgm,PPOCP-conservative,True,256,3416,-3160,126,0.09707725230777224,33.181693768340985,True,True,,
3116.pgm,Huynh-Nguyen-T5,True,256,1960,-1704,139,0.17160373800044404,32.755251216975665,True,True,,
3116.pgm,Dong-adaptive-conservative,True,256,400,-144,188,0.1920688773862172,31.443820726879817,True,True,l=1,
3125.pgm,PPOCP-conservative,True,256,3600,-3344,129,0.09183262758475905,33.079502116524125,True,True,,
3125.pgm,Huynh-Nguyen-T5,True,256,1864,-1608,124,0.12964205253821445,33.251182367894266,True,True,,
3125.pgm,Dong-adaptive-conservative,True,256,344,-88,165,0.21255707227480658,32.01055977737755,True,True,l=1,
3823.pgm,PPOCP-conservative,True,256,3120,-2864,140,0.022803074936062092,32.72411886273424,True,True,,
3823.pgm,Huynh-Nguyen-T5,True,256,1088,-832,176,0.05205550571090952,31.73027254137512,True,True,,
3823.pgm,Dong-adaptive-conservative,True,256,344,-88,187,0.059042879325908695,31.466983154151627,True,True,l=4,
3909.pgm,PPOCP-conservative,True,256,3216,-2960,126,0.02559241084692578,33.181693768340985,True,True,,
3909.pgm,Huynh-Nguyen-T5,True,256,688,-432,199,0.06538774965339479,31.196868455419548,True,True,,
3909.pgm,Dong-adaptive-conservative,True,256,416,-160,171,0.056656960072072673,31.855438115595078,True,True,l=1,
4004.pgm,PPOCP-conservative,True,256,3400,-3144,141,0.04313542041924958,32.69320809296281,True,True,,
4004.pgm,Huynh-Nguyen-T5,True,256,1128,-872,157,0.08130195419703244,32.22640269542428,True,True,,
4004.pgm,Dong-adaptive-conservative,True,256,384,-128,160,0.07369561686937137,32.14419939295737,True,True,l=4,
4090.pgm,PPOCP-conservative,True,256,3336,-3080,121,0.038675028139820766,33.35754551635211,True,True,,
4090.pgm,Huynh-Nguyen-T5,True,256,688,-432,166,0.08256494368052623,31.98431833911606,True,True,,
4090.pgm,Dong-adaptive-conservative,True,256,392,-136,144809,93.12484287004132,2.5774436748782845,True,True,l=1,
4328.pgm,PPOCP-conservative,True,256,3272,-3016,126,0.04413435448595524,33.181693768340985,True,True,,
4328.pgm,Huynh-Nguyen-T5,True,256,1904,-1648,139,0.07635936713285033,32.755251216975665,True,True,,
4328.pgm,Dong-adaptive-conservative,True,256,336,-80,148,0.09462216893171868,32.482782065567044,True,True,l=1,
4391.pgm,PPOCP-conservative,True,256,3208,-2952,114,0.021936789715178397,33.61635070615189,True,True,,
4391.pgm,Huynh-Nguyen-T5,True,256,688,-432,208,0.06538265535909024,31.004765869889003,True,True,,
4391.pgm,Dong-adaptive-conservative,True,256,328,-72,142804,50.9514662232778,2.6379954957034455,True,True,l=3,
4707.pgm,PPOCP-conservative,True,256,3840,-3584,119,0.05408506861145972,33.429929605591305,True,True,,
4707.pgm,Huynh-Nguyen-T5,True,256,1880,-1624,141,0.11900182664183999,32.69320809296281,True,True,,
4707.pgm,Dong-adaptive-conservative,True,256,296,-40,151,0.12695743164789805,32.395629746584916,True,True,l=4,
4757.pgm,PPOCP-conservative,True,256,2568,-2312,133,0.283294387910943,32.94688280984576,True,True,,
4757.pgm,Huynh-Nguyen-T5,True,256,3296,-3040,127,0.3738033490563849,33.14736200995704,True,True,,
4757.pgm,Dong-adaptive-conservative,True,256,288,-32,130,0.4842387173248928,33.04596569644825,True,True,l=5,
4839.pgm,PPOCP-conservative,True,256,3096,-2840,126,0.16882001494881102,33.181693768340985,True,True,,
4839.pgm,Huynh-Nguyen-T5,True,256,3296,-3040,125,0.23538192548061523,33.21629908943605,True,True,,
4839.pgm,Dong-adaptive-conservative,True,256,304,-48,134,0.28631568677216246,32.91435123586854,True,True,l=2,
5009.pgm,PPOCP-conservative,True,256,256,0,143,121.12882086133986,32.632038844865995,True,True,,
5009.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5009.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
5038.pgm,PPOCP-conservative,True,256,256,0,120,10.17526989781007,33.39358675904037,True,True,,
5038.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5038.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
5056.pgm,PPOCP-conservative,True,256,2024,-1768,138,1.1156029135217822,32.78660835550425,True,True,,
5056.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5056.pgm,Dong-adaptive-conservative,True,256,304,-48,173,2.1251686938261303,31.80493818822866,True,True,l=4,
5125.pgm,PPOCP-conservative,True,256,2632,-2376,122,0.2592523011618952,33.321800912769135,True,True,,
5125.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5125.pgm,Dong-adaptive-conservative,True,256,536,-280,742,2.7911882529132686,25.481360166726343,True,True,l=2,
5184.pgm,PPOCP-conservative,True,256,2992,-2736,134,0.3505632931642254,32.91435123586854,True,True,,
5184.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5184.pgm,Dong-adaptive-conservative,True,256,280,-24,133,0.6006495512778816,32.94688280984576,True,True,l=3,
5248.pgm,PPOCP-conservative,True,256,256,0,141,3.0656261871607096,32.69320809296281,True,True,,
5248.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5248.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
5288.pgm,PPOCP-conservative,True,256,256,0,116,1.8191567331716303,33.54081932724743,True,True,,
5288.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5288.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
5306.pgm,PPOCP-conservative,True,256,3536,-3280,126,0.06945765614240765,33.181693768340985,True,True,,
5306.pgm,Huynh-Nguyen-T5,True,256,1968,-1712,138,0.10688605959241063,32.78660835550425,True,True,,
5306.pgm,Dong-adaptive-conservative,True,256,304,-48,13392,14.87053353389221,12.916944813024767,True,True,l=1,
5374.pgm,PPOCP-conservative,True,256,2544,-2288,126,0.38804756750698205,33.181693768340985,True,True,,
5374.pgm,Huynh-Nguyen-T5,True,256,3392,-3136,123,0.6129415329449361,33.286348105122634,True,True,,
5374.pgm,Dong-adaptive-conservative,True,256,304,-48,135,0.7055374718977783,32.88206153456655,True,True,l=1,
5510.pgm,PPOCP-conservative,True,256,3080,-2824,135,0.10468100240000225,32.88206153456655,True,True,,
5510.pgm,Huynh-Nguyen-T5,True,256,3376,-3120,126,0.17516989925494572,33.181693768340985,True,True,,
5510.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
5683.pgm,PPOCP-conservative,True,256,256,0,122,103.44857729440231,33.321800912769135,True,True,,
5683.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
5683.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
5788.pgm,PPOCP-conservative,True,256,2632,-2376,116,0.15543265428137462,33.54081932724743,True,True,,
5788.pgm,Huynh-Nguyen-T5,True,256,3368,-3112,111,0.2290178314984462,33.73216943165004,True,True,,
5788.pgm,Dong-adaptive-conservative,True,256,280,-24,114,0.26461059867176734,33.61635070615189,True,True,l=1,
5966.pgm,PPOCP-conservative,True,256,3600,-3344,139,0.040689332156992615,32.755251216975665,True,True,,
5966.pgm,Huynh-Nguyen-T5,True,256,1128,-872,142,0.07537340508422126,32.662515775686046,True,True,,
5966.pgm,Dong-adaptive-conservative,True,256,352,-96,10913,5.356438574370733,13.80595766748563,True,True,l=9,
6197.pgm,PPOCP-conservative,True,256,256,0,137,116.16766466666444,32.818193547952546,True,True,,
6197.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
6197.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
6247.pgm,PPOCP-conservative,True,256,1792,-1536,119,0.1012463098053916,33.429929605591305,True,True,,
6247.pgm,Huynh-Nguyen-T5,True,256,1872,-1616,131,0.2586068835244486,33.01268626295897,True,True,,
6247.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
6399.pgm,PPOCP-conservative,True,256,3696,-3440,133,0.07808708031652796,32.94688280984576,True,True,,
6399.pgm,Huynh-Nguyen-T5,True,256,1864,-1608,120,0.12539680352602198,33.39358675904037,True,True,,
6399.pgm,Dong-adaptive-conservative,True,256,312,-56,148,0.15700346438262913,32.482782065567044,True,True,l=1,
6447.pgm,PPOCP-conservative,True,256,3384,-3128,124,0.3917840962251969,33.251182367894266,True,True,,
6447.pgm,Huynh-Nguyen-T5,True,256,3384,-3128,112,0.4782423081663304,33.6932189928148,True,True,,
6447.pgm,Dong-adaptive-conservative,True,256,280,-24,133,0.7233361560859122,32.94688280984576,True,True,l=4,
6702.pgm,PPOCP-conservative,True,256,2952,-2696,137,0.11593820794133321,32.818193547952546,True,True,,
6702.pgm,Huynh-Nguyen-T5,True,256,3376,-3120,125,0.1856317187070063,33.21629908943605,True,True,,
6702.pgm,Dong-adaptive-conservative,True,256,288,-32,138,0.23160561339852645,32.78660835550425,True,True,l=1,
6760.pgm,PPOCP-conservative,True,256,2648,-2392,143,0.2449387379346055,32.632038844865995,True,True,,
6760.pgm,Huynh-Nguyen-T5,True,256,3336,-3080,118,0.30575917805202724,33.46657914645536,True,True,,
6760.pgm,Dong-adaptive-conservative,False,256,0,0,0,,,False,False,,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
6823.pgm,PPOCP-conservative,True,256,2376,-2120,111,0.2573656622401498,33.73216943165004,True,True,,
6823.pgm,Huynh-Nguyen-T5,True,256,3248,-2992,106,0.32725012691710187,33.932340566868916,True,True,,
6823.pgm,Dong-adaptive-conservative,True,256,296,-40,135,0.44169020625502103,32.88206153456655,True,True,l=1,
6949.pgm,PPOCP-conservative,True,256,2488,-2232,125,0.12279019041579674,33.21629908943605,True,True,,
6949.pgm,Huynh-Nguyen-T5,True,256,3336,-3080,118,0.21644438918053693,33.46657914645536,True,True,,
6949.pgm,Dong-adaptive-conservative,True,256,288,-32,121,0.19507870881072548,33.35754551635211,True,True,l=4,
7039.pgm,PPOCP-conservative,True,256,1776,-1520,133,0.6620223993590928,32.94688280984576,True,True,,
7039.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
7039.pgm,Dong-adaptive-conservative,True,256,272,-16,129,1.133680268457825,33.079502116524125,True,True,l=8,
7381.pgm,PPOCP-conservative,True,256,3304,-3048,138,0.3627101121719133,32.78660835550425,True,True,,
7381.pgm,Huynh-Nguyen-T5,True,256,3296,-3040,131,0.5414722342804311,33.01268626295897,True,True,,
7381.pgm,Dong-adaptive-conservative,True,256,312,-56,149,0.6117258937177907,32.45353653539388,True,True,l=3,
7401.pgm,PPOCP-conservative,True,256,3128,-2872,126,0.042270435506453326,33.181693768340985,True,True,,
7401.pgm,Huynh-Nguyen-T5,True,256,1904,-1648,124,0.08157016425294876,33.251182367894266,True,True,,
7401.pgm,Dong-adaptive-conservative,True,256,288,-32,135,0.10192317305634875,32.88206153456655,True,True,l=1,
7569.pgm,PPOCP-conservative,True,256,2824,-2568,129,0.19474691100049196,33.079502116524125,True,True,,
7569.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
7569.pgm,Dong-adaptive-conservative,True,256,312,-56,149,0.39767214510362564,32.45353653539388,True,True,l=2,
7612.pgm,PPOCP-conservative,True,256,3072,-2816,131,0.05177508812673708,33.01268626295897,True,True,,
7612.pgm,Huynh-Nguyen-T5,True,256,1904,-1648,145,0.07785762255449666,32.571719197166864,True,True,,
7612.pgm,Dong-adaptive-conservative,True,256,400,-144,216,0.1229360339431251,30.840861708007306,True,True,l=3,
7770.pgm,PPOCP-conservative,True,256,3104,-2848,126,0.39913026779819444,33.181693768340985,True,True,,
7770.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
7770.pgm,Dong-adaptive-conservative,True,256,280,-24,129,0.7675759638098664,33.079502116524125,True,True,l=5,
7975.pgm,PPOCP-conservative,True,256,2192,-1936,119,0.3781417533682958,33.429929605591305,True,True,,
7975.pgm,Huynh-Nguyen-T5,True,256,3336,-3080,124,0.487573739408653,33.251182367894266,True,True,,
7975.pgm,Dong-adaptive-conservative,True,256,392,-136,174,0.7890457828829296,31.779906736690616,True,True,l=10,
8077.pgm,PPOCP-conservative,True,256,3072,-2816,115,0.314243514541509,33.5784208159805,True,True,,
8077.pgm,Huynh-Nguyen-T5,False,256,0,0,0,,,False,False,,capacity below target
8077.pgm,Dong-adaptive-conservative,True,256,280,-24,140,0.6366041963907729,32.72411886273424,True,True,l=1,
8222.pgm,PPOCP-conservative,True,256,3472,-3216,129,0.030500629270274922,33.079502116524125,True,True,,
8222.pgm,Huynh-Nguyen-T5,True,256,1104,-848,151,0.06257785327208454,32.395629746584916,True,True,,
