image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,error
9946.pgm,Huynh-Nguyen-T5,True,256,1904,-1648,124,0.33298492316467826,33.251182367894266,True,True,,
9946.pgm,Dong-adaptive-conservative,True,256,344,-88,126,0.34803114808195196,33.181693768340985,True,True,l=4,
7.pgm,ABM-enumerative,True,256,144,112,131,0.10041103882691549,33.01268626295897,True,True,,
46.pgm,ABM-enumerative,True,256,136,120,133,0.13471987336865263,32.94688280984576,True,True,,
353.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
410.pgm,ABM-enumerative,True,256,120,136,124,0.0863221586560541,33.251182367894266,True,True,,
488.pgm,ABM-enumerative,True,256,160,96,117,0.07492694502831786,33.503540602055,True,True,,
581.pgm,ABM-enumerative,True,256,296,-40,135,0.5954370145594483,32.88206153456655,True,True,,
596.pgm,ABM-enumerative,True,256,200,56,134,0.3525751754675884,32.91435123586854,True,True,,
636.pgm,ABM-enumerative,True,256,360,-104,119,0.48933269071224744,33.429929605591305,True,True,,
655.pgm,ABM-enumerative,True,256,152,104,134,0.1892222603291415,32.91435123586854,True,True,,
812.pgm,ABM-enumerative,True,256,120,136,123,0.07913721341939897,33.286348105122634,True,True,,
889.pgm,ABM-enumerative,True,256,136,120,121,0.12045923782444838,33.35754551635211,True,True,,
1300.pgm,ABM-enumerative,True,256,136,120,136,0.16037217204002888,32.850010135814436,True,True,,
1404.pgm,ABM-enumerative,True,256,144,112,142,0.15664267345421193,32.662515775686046,True,True,,
1473.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
1493.pgm,ABM-enumerative,True,256,144,112,127,0.1773683554936149,33.14736200995704,True,True,,
1583.pgm,ABM-enumerative,True,256,184,72,124,0.28747467035427343,33.251182367894266,True,True,,
1586.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
1592.pgm,ABM-enumerative,True,256,144,112,117,0.15427414649062543,33.503540602055,True,True,,
1658.pgm,ABM-enumerative,True,256,136,120,132,0.12677124561666564,32.979659907458114,True,True,,
1669.pgm,ABM-enumerative,True,256,200,56,112,0.2694152906740982,33.6932189928148,True,True,,
1717.pgm,ABM-enumerative,True,256,144,112,124,0.1226861221026674,33.251182367894266,True,True,,
1722.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
1899.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
2098.pgm,ABM-enumerative,True,256,120,136,130,0.05482182463758079,33.04596569644825,True,True,,
2105.pgm,ABM-enumerative,True,256,136,120,130,0.09236404339149624,33.04596569644825,True,True,,
2179.pgm,ABM-enumerative,True,256,136,120,123,0.0932326470223117,33.286348105122634,True,True,,
2198.pgm,ABM-enumerative,True,256,144,112,133,0.1352981839764609,32.94688280984576,True,True,,
2323.pgm,ABM-enumerative,True,256,144,112,129,0.1737242512092069,33.079502116524125,True,True,,
2460.pgm,ABM-enumerative,True,256,120,136,131,0.14115272381524877,33.01268626295897,True,True,,
2512.pgm,ABM-enumerative,True,256,176,80,116,0.06170028908089025,33.54081932724743,True,True,,
2565.pgm,ABM-enumerative,True,256,136,120,127,0.16393638326531246,33.14736200995704,True,True,,
2702.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
2732.pgm,ABM-enumerative,True,256,120,136,135,0.05660957017804043,32.88206153456655,True,True,,
2738.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
2766.pgm,ABM-enumerative,True,256,240,16,140,0.4707920436872241,32.72411886273424,True,True,,
2881.pgm,ABM-enumerative,True,256,152,104,124,0.05543791688221816,33.251182367894266,True,True,,
2929.pgm,ABM-enumerative,True,256,120,136,126,0.07798438188102814,33.181693768340985,True,True,,
2947.pgm,ABM-enumerative,True,256,136,120,121,0.07820759966083389,33.35754551635211,True,True,,
3009.pgm,ABM-enumerative,True,256,120,136,136,0.055779854212963616,32.850010135814436,True,True,,
3089.pgm,ABM-enumerative,True,256,144,112,114,0.06031161639872802,33.61635070615189,True,True,,
3099.pgm,ABM-enumerative,True,256,200,56,131,0.16060894149545937,33.01268626295897,True,True,,
3105.pgm,ABM-enumerative,True,256,136,120,116,0.060080215254796294,33.54081932724743,True,True,,
3109.pgm,ABM-enumerative,True,256,192,64,119,0.08450889710787408,33.429929605591305,True,True,,
3116.pgm,ABM-enumerative,True,256,152,104,116,0.15471064608065357,33.54081932724743,True,True,,
3125.pgm,ABM-enumerative,True,256,152,104,110,0.14828409143152194,33.771472367934365,True,True,,
3823.pgm,ABM-enumerative,True,256,152,104,136,0.04096263613289425,32.850010135814436,True,True,,
3909.pgm,ABM-enumerative,True,256,192,64,141,0.04573765518463266,32.69320809296281,True,True,,
4004.pgm,ABM-enumerative,True,256,144,112,139,0.07319489729007557,32.755251216975665,True,True,,
4090.pgm,ABM-enumerative,True,256,160,96,128,0.06610303572027552,33.11329952303793,True,True,,
4328.pgm,ABM-enumerative,True,256,136,120,121,0.08758189573793412,33.35754551635211,True,True,,
4391.pgm,ABM-enumerative,True,256,184,72,136,0.03799314760197578,32.850010135814436,True,True,,
4707.pgm,ABM-enumerative,True,256,144,112,134,0.11938134107813604,32.91435123586854,True,True,,
4757.pgm,ABM-enumerative,True,256,200,56,128,0.4225891748087356,33.11329952303793,True,True,,
4839.pgm,ABM-enumerative,True,256,184,72,129,0.2535464202945088,33.079502116524125,True,True,,
5009.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5038.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5056.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5125.pgm,ABM-enumerative,True,256,232,24,129,0.4510363242756963,33.079502116524125,True,True,,
5184.pgm,ABM-enumerative,True,256,280,-24,132,0.5035709162312239,32.979659907458114,True,True,,
5248.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5288.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5306.pgm,ABM-enumerative,True,256,152,104,135,0.13341457577876006,32.88206153456655,True,True,,
5374.pgm,ABM-enumerative,True,256,304,-48,121,0.6189520423536019,33.35754551635211,True,True,,
5510.pgm,ABM-enumerative,True,256,144,112,131,0.20195862159981387,33.01268626295897,True,True,,
5683.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
5788.pgm,ABM-enumerative,True,256,184,72,114,0.23291084409407126,33.61635070615189,True,True,,
5966.pgm,ABM-enumerative,True,256,136,120,117,0.059867008131339834,33.503540602055,True,True,,
6197.pgm,ABM-enumerative,False,256,0,0,0,,,False,False,,capacity below target
6247.pgm,ABM-enumerative,True,256,176,80,137,0.2568540996243118,32.818193547952546,True,True,,
6399.pgm,ABM-enumerative,True,256,144,112,118,0.13862870552516443,33.46657914645536,True,True,,
6447.pgm,ABM-enumerative,True,256,248,8,133,0.5515766423742317,32.94688280984576,True,True,,
6702.pgm,ABM-enumerative,True,256,152,104,138,0.20404230480995242,32.78660835550425,True,True,,
6760.pgm,ABM-enumerative,True,256,200,56,118,0.30227927817491007,33.46657914645536,True,True,,
6823.pgm,ABM-enumerative,True,256,200,56,123,0.3897649006978688,33.286348105122634,True,True,,
