image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
7.pgm,ABM-enumerative,True,128,120,8,62,0.046891615734051095,36.26148232453408,True,True,,3.5497105000540614,
7.pgm,PPOCP-conservative,True,128,1720,-1592,54,0.028245273667734102,36.86146162128693,True,True,,0.12441510008648038,
7.pgm,Huynh-Nguyen-T5,True,128,1128,-1000,74,0.05503699566368706,35.493082022206856,True,True,,1.8337158999638632,
7.pgm,Dong-adaptive-conservative,True,128,344,-216,82,0.056217090862935616,35.04726069567945,True,True,l=2,21.64492039999459,
46.pgm,ABM-enumerative,True,128,120,8,63,0.06160142709009029,36.1919937249808,True,True,,3.4901676999870688,
46.pgm,PPOCP-conservative,True,128,1808,-1680,63,0.024579010676347605,36.1919937249808,True,True,,0.13585770002100617,
46.pgm,Huynh-Nguyen-T5,True,128,1880,-1752,64,0.051998442448983884,36.12359947967774,True,True,,2.36690489994362,
46.pgm,Dong-adaptive-conservative,True,128,272,-144,63,0.07577886413066802,36.1919937249808,True,True,l=1,18.663381100050174,
353.pgm,ABM-enumerative,False,128,0,0,0,,,False,False,,1.793512599891983,capacity below target
353.pgm,PPOCP-conservative,True,128,1032,-904,58,0.6517341126775519,36.551119283887246,True,True,,0.13681049994193017,
353.pgm,Huynh-Nguyen-T5,False,128,0,0,0,,,False,False,,0.9622136999387294,capacity below target
353.pgm,Dong-adaptive-conservative,False,128,0,0,0,,,False,False,,63.53709030000027,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map is exhausted; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
410.pgm,ABM-enumerative,True,128,112,16,57,0.039727601777793706,36.626650662791704,True,True,,3.920965899946168,
410.pgm,PPOCP-conservative,True,128,1128,-1000,72,0.020834277199508918,35.61207425520393,True,True,,0.19721510005183518,
410.pgm,Huynh-Nguyen-T5,True,128,1864,-1736,60,0.03519914599451695,36.40388671568018,True,True,,3.0875294000143185,
410.pgm,Dong-adaptive-conservative,True,128,280,-152,58,0.04160245569499374,36.551119283887246,True,True,l=1,18.579125999938697,
488.pgm,ABM-enumerative,True,128,136,-8,60,0.03956626708240983,36.40388671568018,True,True,,6.222094899974763,
488.pgm,PPOCP-conservative,True,128,2120,-1992,63,0.021549977967305168,36.1919937249808,True,True,,0.2464244000148028,
488.pgm,Huynh-Nguyen-T5,True,128,1104,-976,82,0.05285599620665061,35.04726069567945,True,True,,3.5186161000747234,
488.pgm,Dong-adaptive-conservative,True,128,448,-320,2205,1.257720630248361,20.751313281478044,True,True,l=1,14.209437699988484,
581.pgm,ABM-enumerative,True,128,160,-32,66,0.2545721774616029,35.989959864097926,True,True,,4.025687200017273,
581.pgm,PPOCP-conservative,True,128,1696,-1568,64,0.19545406340292204,36.12359947967774,True,True,,0.23703580000437796,
581.pgm,Huynh-Nguyen-T5,True,128,3392,-3264,62,0.31005231635976066,36.26148232453408,True,True,,4.022464300040156,
581.pgm,Dong-adaptive-conservative,True,128,272,-144,66,0.35270779188416174,35.989959864097926,True,True,l=1,59.67678550002165,
596.pgm,ABM-enumerative,True,128,144,-16,58,0.1584478159498968,36.551119283887246,True,True,,5.8138747999910265,
596.pgm,PPOCP-conservative,True,128,1664,-1536,55,0.09014996076658666,36.78177232457418,True,True,,0.2210588000016287,
596.pgm,Huynh-Nguyen-T5,True,128,3392,-3264,54,0.1379987493613275,36.86146162128693,True,True,,4.225392700056545,
596.pgm,Dong-adaptive-conservative,True,128,288,-160,61,0.14633063641379296,36.33210086940895,True,True,l=5,35.03234150004573,
636.pgm,ABM-enumerative,True,128,208,-80,56,0.2526864094070238,36.70351894945461,True,True,,4.340837800060399,
636.pgm,PPOCP-conservative,True,128,1696,-1568,78,0.2271803624452892,35.26445319261181,True,True,,0.11578829993959516,
636.pgm,Huynh-Nguyen-T5,True,128,3400,-3272,56,0.23336911370873942,36.70351894945461,True,True,,2.676290799980052,
636.pgm,Dong-adaptive-conservative,True,128,280,-152,56,0.26846104305780283,36.70351894945461,True,True,l=6,14.978364199982025,
655.pgm,ABM-enumerative,True,128,120,8,66,0.09526368088114764,35.989959864097926,True,True,,6.437090300023556,
655.pgm,PPOCP-conservative,True,128,1816,-1688,63,0.03705933643860316,36.1919937249808,True,True,,0.24757909995969385,
655.pgm,Huynh-Nguyen-T5,True,128,1856,-1728,68,0.0775115024009409,35.86031009245425,True,True,,2.7840448999777436,
655.pgm,Dong-adaptive-conservative,True,128,328,-200,81,0.09912893650996968,35.100549030730114,True,True,l=10,19.56020810001064,
812.pgm,ABM-enumerative,True,128,112,16,65,0.03849688503415172,36.05626565308806,True,True,,5.607912899926305,
812.pgm,PPOCP-conservative,True,128,1840,-1712,66,0.02564170137234858,35.989959864097926,True,True,,0.1441871999995783,
812.pgm,Huynh-Nguyen-T5,True,128,1904,-1776,67,0.033884256969788716,35.92465119250835,True,True,,2.966366400010884,
812.pgm,Dong-adaptive-conservative,True,128,344,-216,147470,119.25162232821833,2.4983624170258474,True,True,l=3,67.36392589996103,
889.pgm,ABM-enumerative,True,128,120,8,60,0.05960944490950366,36.40388671568018,True,True,,5.749762399937026,
889.pgm,PPOCP-conservative,True,128,1872,-1744,67,0.03296066134433251,35.92465119250835,True,True,,0.26531689998228103,
889.pgm,Huynh-Nguyen-T5,True,128,1848,-1720,64,0.0490667889685282,36.12359947967774,True,True,,3.1465108999982476,
889.pgm,Dong-adaptive-conservative,True,128,296,-168,66,0.05110764966159655,35.989959864097926,True,True,l=8,9.579802799969912,
1300.pgm,ABM-enumerative,True,128,112,16,75,0.09089958095963903,35.43478658559962,True,True,,5.570907300105318,
1300.pgm,PPOCP-conservative,True,128,1672,-1544,65,0.03062905057583451,36.05626565308806,True,True,,0.28527739993296564,
1300.pgm,Huynh-Nguyen-T5,True,128,1880,-1752,70,0.07322161954024708,35.73441881937405,True,True,,3.774910500040278,
1300.pgm,Dong-adaptive-conservative,True,128,344,-216,82,0.1039026734736886,35.04726069567945,True,True,l=7,32.505192399956286,
1404.pgm,ABM-enumerative,True,128,120,8,76,0.07967263490082,35.377263296708705,True,True,,7.177587199956179,
1404.pgm,PPOCP-conservative,True,128,1888,-1760,64,0.04076341760713616,36.12359947967774,True,True,,0.27361469995230436,
1404.pgm,Huynh-Nguyen-T5,True,128,1824,-1696,65,0.06128672527334663,36.05626565308806,True,True,,3.4293846000218764,
1404.pgm,Dong-adaptive-conservative,True,128,288,-160,82,0.09480258832896282,35.04726069567945,True,True,l=7,35.084161999984644,
1473.pgm,ABM-enumerative,True,128,200,-72,65,0.4723961860997485,36.05626565308806,True,True,,3.4538844000780955,
1473.pgm,PPOCP-conservative,True,128,1392,-1264,57,0.25859123838347847,36.626650662791704,True,True,,0.11639510001987219,
1473.pgm,Huynh-Nguyen-T5,True,128,3416,-3288,65,0.4468105968480383,36.05626565308806,True,True,,2.0169137999182567,
1473.pgm,Dong-adaptive-conservative,True,128,296,-168,69,0.5204922259016448,35.79690831214406,True,True,l=3,43.931627699988894,
1493.pgm,ABM-enumerative,True,128,120,8,65,0.09584856371249634,36.05626565308806,True,True,,3.0832191000226885,
1493.pgm,PPOCP-conservative,True,128,1656,-1528,76,0.060057544408900855,35.377263296708705,True,True,,0.12355319992639124,
1493.pgm,Huynh-Nguyen-T5,True,128,1864,-1736,68,0.06995770184605592,35.86031009245425,True,True,,1.8238860999699682,
1493.pgm,Dong-adaptive-conservative,True,128,352,-224,201713,346.8746962509709,1.1380603342491662,True,True,l=10,89.97871470008977,
1583.pgm,ABM-enumerative,True,128,144,-16,59,0.13535934491787974,36.47687910309517,True,True,,3.1732472999719903,
1583.pgm,PPOCP-conservative,True,128,1448,-1320,68,0.057252470542605516,35.86031009245425,True,True,,0.12458379997406155,
1583.pgm,Huynh-Nguyen-T5,True,128,3392,-3264,60,0.10254492104256945,36.40388671568018,True,True,,2.2677950999932364,
