image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
7.pgm,ABM-enumerative,True,64,112,-48,33,0.024718517096561806,39.00025982073774,True,True,,3.7334503999445587,
7.pgm,PPOCP-conservative,True,64,992,-928,26,0.014051578979079432,40.03566573980844,True,True,,0.14835120004136115,
7.pgm,Huynh-Nguyen-T5,True,64,1120,-1056,39,0.028687880635656086,38.27475314925162,True,True,,2.0092392000369728,
7.pgm,Dong-adaptive-conservative,True,64,304,-240,39,0.026898076932688076,38.27475314925162,True,True,l=1,26.419496400048956,
46.pgm,ABM-enumerative,True,64,112,-48,36,0.039614424665513064,38.62237421184374,True,True,,3.5049181999638677,
46.pgm,PPOCP-conservative,True,64,1104,-1040,31,0.01275263251963233,39.27178228117389,True,True,,0.14611640002112836,
46.pgm,Huynh-Nguyen-T5,True,64,1888,-1824,36,0.02756368478205573,38.62237421184374,True,True,,1.8281542001059279,
46.pgm,Dong-adaptive-conservative,True,64,272,-208,36,0.0445607989835896,38.62237421184374,True,True,l=1,14.225400399998762,
353.pgm,ABM-enumerative,True,64,192,-128,32,0.3634010224438681,39.133899436317556,True,True,,3.0892340999562293,
353.pgm,PPOCP-conservative,True,64,960,-896,29,0.21905345794540018,39.56141924052706,True,True,,0.13659230002667755,
353.pgm,Huynh-Nguyen-T5,True,64,3336,-3272,26,0.2674801347234761,40.03566573980844,True,True,,2.35513069992885,
353.pgm,Dong-adaptive-conservative,False,64,0,0,0,,,False,False,,48.43419529998209,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
410.pgm,ABM-enumerative,True,64,112,-48,30,0.02182938700765725,39.41418667231999,True,True,,2.4652610999764875,
410.pgm,PPOCP-conservative,True,64,720,-656,38,0.011023721076280373,38.38756325334851,True,True,,0.08744129992555827,
410.pgm,Huynh-Nguyen-T5,True,64,1888,-1824,32,0.018597393163683196,39.133899436317556,True,True,,1.4016677999170497,
410.pgm,Dong-adaptive-conservative,True,64,280,-216,30,0.021506729001708462,39.41418667231999,True,True,l=1,7.424047300009988,
