image,method,available,payload_bits,auxiliary_bits,net_payload_bits,changed_pixels,drd,psnr_db,reversible,message_exact,parameter,runtime_seconds,error
889.pgm,ABM-enumerative,True,512,160,352,244,0.24094148469838525,30.311500956129322,True,True,,4.2369589000009,
889.pgm,PPOCP-conservative,True,512,4528,-4016,268,0.10390315312882734,29.904051279228728,True,True,,0.1782889999449253,
889.pgm,Huynh-Nguyen-T5,True,512,1848,-1336,249,0.1938947743821907,30.22340574855925,True,True,,2.440656000049785,
889.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,11.270533800008707,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
1300.pgm,ABM-enumerative,True,512,192,320,258,0.31171881634372145,30.069202159884313,True,True,,3.0137240000767633,
1300.pgm,PPOCP-conservative,True,512,4264,-3752,255,0.121337740522582,30.11999741517706,True,True,,0.20112270000390708,
1300.pgm,Huynh-Nguyen-T5,True,512,1880,-1368,278,0.2743209695216383,29.744951260335853,True,True,,3.267051999922842,
1300.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,31.77959920000285,l=1: Dong location map contains unused marks; l=2: Dong location map contains unused marks; l=3: Dong location map contains unused marks; l=4: Dong location map contains unused marks; l=5: Dong location map contains unused marks; l=6: Dong location map contains unused marks; l=7: Dong location map contains unused marks; l=8: Dong location map contains unused marks; l=9: Dong location map contains unused marks; l=10: Dong location map contains unused marks
1404.pgm,ABM-enumerative,True,512,184,328,275,0.31395827088530615,29.79207228121399,True,True,,3.401642399956472,
1404.pgm,PPOCP-conservative,True,512,5376,-4864,263,0.1867287780002181,29.985841734619036,True,True,,0.08933300001081079,
1404.pgm,Huynh-Nguyen-T5,True,512,1832,-1320,256,0.2234108168368346,30.102999566398122,True,True,,2.2604922000318766,
1404.pgm,Dong-adaptive-conservative,True,512,336,176,297,0.35213594428141964,29.45783472634449,True,True,l=7,47.15433509997092,
1473.pgm,ABM-enumerative,False,512,0,0,0,,,False,False,,1.8463426999514922,capacity below target
1473.pgm,PPOCP-conservative,True,512,4000,-3488,250,1.6694655480505927,30.205999132796236,True,True,,0.13240650005172938,
1473.pgm,Huynh-Nguyen-T5,False,512,0,0,0,,,False,False,,0.6097042999463156,capacity below target
1473.pgm,Dong-adaptive-conservative,False,512,0,0,0,,,False,False,,47.36942920007277,l=1: Insufficient Dong excluding-mode capacity; l=2: Insufficient Dong excluding-mode capacity; l=3: Insufficient Dong excluding-mode capacity; l=4: Insufficient Dong excluding-mode capacity; l=5: Insufficient Dong excluding-mode capacity; l=6: Insufficient Dong excluding-mode capacity; l=7: Insufficient Dong excluding-mode capacity; l=8: Insufficient Dong excluding-mode capacity; l=9: Insufficient Dong excluding-mode capacity; l=10: Insufficient Dong excluding-mode capacity
1493.pgm,ABM-enumerative,True,512,232,280,243,0.3420336563921412,30.329336483533496,True,True,,3.639901499962434,
1493.pgm,PPOCP-conservative,True,512,4144,-3632,260,0.2259830530948445,30.035665739808437,True,True,,0.0938429000088945,
1493.pgm,Huynh-Nguyen-T5,True,512,1864,-1352,251,0.2758967426332185,30.18866200470623,True,True,,1.6705009000143036,
1493.pgm,Dong-adaptive-conservative,True,512,528,-16,239936,408.8730627867524,0.38444507546223616,True,True,l=1,53.47215269994922,
1583.pgm,ABM-enumerative,True,512,304,208,259,0.6252913617574386,30.0524015787041,True,True,,3.690995499957353,
