image,payload_fraction,payload_bits,auxiliary_bits,net_payload_bits,drd,pattern_js_divergence,delta_horizontal_transitions,delta_vertical_transitions,changed_pixels
circuit-2,0.25,525,592,-67,0.18731878552802575,0.004722633926436043,0.0017658390410958888,0.0012842465753424674,257
circuit-2,0.5,1051,592,459,0.39944909418996305,0.010439969997884574,0.0036081213307240685,0.002920132093933464,537
circuit-2,0.75,1576,592,984,0.5527918292214562,0.015138673114333137,0.004938233855185908,0.003982693248532291,747
circuit-2,1.0,2102,592,1510,0.7408874567416677,0.021588138302661646,0.006589408023483366,0.005488625244618395,1003
formula-5,0.25,1230,672,558,0.3104957959926346,0.011389089752112301,0.004273177592954987,0.004437530577299412,621
formula-5,0.5,2461,672,1789,0.6198347804784166,0.02417311686739356,0.008630442759295497,0.008752751956947163,1253
formula-5,0.75,3692,672,3020,0.9234881075013978,0.038309724798005394,0.012830999266144817,0.013174993884540118,1878
formula-5,1.0,4923,672,4251,1.174554003268897,0.05163798307060636,0.016374143835616438,0.016725782778864974,2398
graph1-5,0.25,659,632,27,0.23230945315131274,0.006443722108256689,0.0023047639432485327,0.0023468077299412943,346
graph1-5,0.5,1319,632,687,0.45361070719876395,0.013368402601882311,0.004299932729941291,0.004689793297455967,676
graph1-5,0.75,1978,632,1346,0.6836400126151021,0.021047619437235283,0.006597052348336595,0.00698309075342466,1011
graph1-5,1.0,2638,632,2006,0.8774611861156887,0.02784029257699562,0.008515777886497062,0.009047058463796477,1287
handwr2-8,0.25,783,632,151,0.24893554792003383,0.007104346848015615,0.0020104574363992156,0.0028704439823874738,389
handwr2-8,0.5,1567,632,935,0.5087498068258202,0.015400905384034706,0.0042502446183953005,0.005767643101761252,798
handwr2-8,0.75,2351,632,1719,0.7513616073329414,0.023907792660486867,0.006375366927592954,0.008565465998043052,1173
handwr2-8,1.0,3135,632,2503,0.976067093486056,0.033210171420344506,0.008183249755381608,0.011111026174168294,1535
large-8,0.25,379,488,-109,0.1903738017925551,0.0033591624900988983,0.0009937622309197647,0.0011007827788649706,179
large-8,0.5,759,488,271,0.40382055036989606,0.007318202939835402,0.0020792563600782778,0.0025073385518590997,372
large-8,0.75,1138,488,650,0.6567172480186174,0.012919545913666104,0.003520211594911938,0.003829806751467711,616
large-8,1.0,1518,488,1030,0.7976231595770376,0.016150753238812682,0.004387842465753425,0.004525440313111546,744
symbol-6,0.25,789,672,117,0.27445998779712877,0.006811275425581691,0.002664047211350294,0.0026678693737769085,368
symbol-6,0.5,1578,672,906,0.5877252704359324,0.015373787695082455,0.005771465264187866,0.005565068493150686,793
symbol-6,0.75,2367,672,1695,0.8688470661522268,0.024017961230542142,0.008523422211350294,0.008278803816046967,1176
symbol-6,1.0,3156,672,2484,1.1747612033988508,0.03436820310626179,0.011355644569471628,0.011221868884540118,1581
table1-3,0.25,1387,656,731,0.2533004854094931,0.012213858310130981,0.0044566413894324836,0.004647749510763209,662
table1-3,0.5,2774,656,2118,0.537849222611936,0.02740914929385918,0.009536295254403124,0.009769447162426621,1415
table1-3,0.75,4161,656,3505,0.7972729237449163,0.04274759544614763,0.01395089285714285,0.01476883561643836,2097
table1-3,1.0,5548,656,4892,1.0780292526046216,0.06162438991538374,0.018969392123287673,0.019974620841487288,2832
french-4,0.25,1909,688,1221,0.290244513872066,0.017553152754153624,0.0069639799412915815,0.006199547455968693,961
french-4,0.5,3819,688,3131,0.5667656858851322,0.03579905796327019,0.013576320939334627,0.011932791095890405,1865
french-4,0.75,5729,688,5041,0.8502815954574168,0.05682531273402601,0.020360659246575333,0.018139982876712327,2802
french-4,1.0,7639,688,6951,1.1402085982855197,0.08105469222146207,0.027454592710371817,0.024186643835616445,3764
