image,candidate_generation_s,prefix_optimization_s,embedding_s,serialization_s,extraction_s,verification_s,total_s,payload_bits,auxiliary_bits,reversible,message_exact
circuit-2,0.8698126000817865,0.37839460000395775,1.0450125000206754,0.000228899996727705,0.3123151999898255,0.00010689999908208847,2.605870700092055,1576,592,True,True
formula-5,1.109841600060463,0.5318699999479577,1.4855694000143558,0.0003098000306636095,0.43076359992846847,0.0001466000685468316,3.5585010000504553,3692,672,True,True
graph1-5,1.1797819000203162,0.5512348000193015,1.4289805999724194,0.00028490007389336824,0.2734516999917105,0.0002736999886110425,3.434007600066252,1978,632,True,True
handwr2-8,1.186445500003174,0.5307797999121249,1.3998957000439987,0.00026490003801882267,0.330271799932234,0.00010599999222904444,3.4477636999217793,2351,632,True,True
large-8,1.1953451000154018,0.5303539000451565,1.378622299991548,0.00017529993783682585,0.3688594000414014,0.00016990001313388348,3.4735259000444785,1138,488,True,True
symbol-6,1.2918407999677584,0.5233170000137761,1.5314041000092402,0.00020350003615021706,0.3067761999554932,0.000125400023534894,3.653667000005953,2367,672,True,True
table1-3,1.1404480000492185,0.4797301999060437,1.190065300092101,0.00032210000790655613,0.2972492999397218,0.00011589995119720697,3.107930799946189,4161,656,True,True
french-4,1.070578100043349,0.4852513000369072,1.2442925999639556,0.000202000024728477,0.361088200006634,8.68999632075429e-05,3.1614991000387818,5729,688,True,True
