configuration,patch_size,conv_layers,base_width,epochs,parameters,training_seconds,validation_inference_seconds,inference_microseconds_per_candidate,validation_samples,mae,pearson,spearman,heldout_mean_hamming_drd,heldout_mean_model_drd,all_reversible,all_messages_exact
shallow_1x9_w24,9,1,24,20,14625,6.973419200046919,0.0310514000011608,7.182835993791533,4323,0.07160652428865433,0.9623028039932251,0.971811765441997,0.8774245327286689,0.8478585351260486,True,True
current_2x9_w24,9,2,24,20,38865,23.62216480006464,0.11753479996696115,27.188248893583424,4323,0.03390134498476982,0.9913012981414795,0.9910559545594118,0.8613608625705895,0.8298431038592549,True,True
deep_3x9_w24,9,3,24,20,44073,27.80450850003399,0.16517839999869466,38.20920656920996,4323,0.03473394736647606,0.990811288356781,0.9905188367291039,0.8804085057767764,0.8482227825022381,True,True
patch_7_2x_w24,7,2,24,20,38865,18.105195500073023,0.08435330004431307,19.512676392392567,4323,0.03828313201665878,0.9885650277137756,0.98998790039637,0.8780988871883795,0.845466451974809,True,True
patch_11_2x_w24,11,2,24,20,38865,27.772545899963006,0.2426652000285685,56.13351839661543,4323,0.048472050577402115,0.9849497079849243,0.986888144866856,0.8579007324899137,0.8252066621684269,True,True
narrow_2x9_w16,9,2,16,20,23649,15.162327499943785,0.10745259991381317,24.856025887997497,4323,0.03793110325932503,0.989911675453186,0.9896604997973808,0.8743212723461959,0.8392064938697619,True,True
wide_2x9_w32,9,2,32,20,56385,27.27187439997215,0.17558489996008575,40.61644690263376,4323,0.030285142362117767,0.9923478364944458,0.9925609395886205,0.8784307121905919,0.8470406339357827,True,True
